Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-4491M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,05/07/23 10:46am,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.02,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11
,,,,LiNK Version:,1.32


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4491.4,0.0,00:23:31.5,00:02:37.2,3.18,00:00:00.0,0.00,24.5,488,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21250780,0.12836320


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,4491.4,0.0,00:23:31.5,00:02:37.2,3.18,00:00:00.0,0.00,24.5,488,9.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21250780,0.12836320



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.8,0.0,00:00:01.4,00:27:46.6,0.30,00:00:00.0,0.00,43.0,1,0.8,0.0,---,---,---,---,---,---,---,---,---,---,52.21250780,0.12836320
1,2.1,0.0,00:00:02.9,00:13:13.6,0.63,00:00:00.0,0.00,39.0,2,1.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21249870,0.12837400
1,3.0,0.0,00:00:04.4,00:11:34.4,0.72,00:00:00.0,0.00,42.5,3,0.9,0.0,---,---,---,---,---,---,---,---,---,---,52.21249240,0.12838290
1,4.2,0.0,00:00:05.7,00:10:25.0,0.80,00:00:00.0,0.00,44.0,4,1.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21248380,0.12839290
1,5.2,0.0,00:00:06.9,00:10:02.4,0.83,00:00:00.0,0.00,45.5,5,1.0,0.0,---,---,---,---,---,---,---,---,---,---,52.21247760,0.12840250
1,6.5,0.0,00:00:08.3,00:09:28.1,0.88,00:00:00.0,0.00,43.5,6,1.4,0.0,---,---,---,---,---,---,---,---,---,---,52.21246820,0.12841580
1,7.8,0.0,00:00:09.7,00:08:35.4,0.97,00:00:00.0,0.00,44.5,7,1.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21246000,0.12842910
1,9.1,0.0,00:00:10.9,00:08:30.2,0.98,00:00:00.0,0.00,46.0,8,1.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21245150,0.12844190
1,10.4,0.0,00:00:12.3,00:08:35.4,0.97,00:00:00.0,0.00,45.5,9,1.3,0.0,---,---,---,---,---,---,---,---,---,---,52.21243970,0.12844860
1,11.7,0.0,00:00:13.6,00:08:20.0,1.00,00:00:00.0,0.00,44.5,10,1.2,0.0,---,---,---,---,---,---,---,---,---,---,52.21242740,0.12845150
1,13.1,0.0,00:00:14.9,00:08:30.2,0.98,00:00:00.0,0.00,45.0,11,1.4,0.0,---,---,---,---,---,---,---,---,---,---,52.21242120,0.12847200
