Session Information:,,,,Device Information:,,,,Oarlock Information:,,,,Oarlock Settings:

Name:,JustGo-2726M,,,Name:,Tom's Speedcoach,,,Firmware:,---,,,Boat ID:,---
Start Time:,02/27/2024 16:59,,,Model:,SpeedCoach GPS Pro,,,,,,,Seat Number:,---
Type:,Just Go,,,Serial:,2268560,,,,,,,Port Starboard:,---
System of Units:,Meters/Split500,,,Firmware Version:,2.22,,,,,,,Oar Length:,---
Speed Input:,GPS,,,Profile Version:,0.03,,,,,,,Inboard Length:,---
,,,,Hardware Version:,Rev 11,,,,,,,,
,,,,LiNK Version:,2.1.68,,,,,,,,


Session Summary:

Total Intervals,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2726.4,0.0,00:12:23.3,00:02:16.6,3.66,00:00:00.0,0.00,53.5,538,5.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2188748,0.1513913


Interval Summaries:

Interval,Total Distance (GPS),Total Distance (IMP),Total Elapsed Time,Avg Split (GPS),Avg Speed (GPS),Avg Split (IMP),Avg Speed (IMP),Avg Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Avg Heart Rate,Avg Power,Avg Catch,Avg Slip,Avg Finish,Avg Wash,Avg Force Avg,Avg Work,Avg Force Max,Avg Max Force Angle,Start GPS Lat.,Start GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,2726.4,0.0,00:12:23.3,00:02:16.6,3.66,00:00:00.0,0.00,53.5,538,5.1,0.0,---,---,---,---,---,---,---,---,---,---,52.2188748,0.1513913



Per-Stroke Data:

Interval,Distance (GPS),Distance (IMP),Elapsed Time,Split (GPS),Speed (GPS),Split (IMP),Speed (IMP),Stroke Rate,Total Strokes,Distance/Stroke (GPS),Distance/Stroke (IMP),Heart Rate,Power,Catch,Slip,Finish,Wash,Force Avg,Work,Force Max,Max Force Angle,GPS Lat.,GPS Lon.
(Interval),(Meters),(Meters),(HH:MM:SS.tenths),(/500),(M/S),(/500),(M/S),(SPM),(Strokes),(Meters),(Meters),(BPM),(Watts),(Degrees),(Degrees),(Degrees),(Degrees),(Newtons),(Joules),(Newtons),(Degrees),(Degrees),(Degrees)
1,0.0,0.0,00:00:01.4,00:00:00.0,0.00,00:00:00.0,0.00,44.0,1,0.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2188748,0.1513913
1,37.4,0.0,00:00:09.1,00:00:00.0,0.00,00:00:00.0,0.00,59.5,2,37.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2186904,0.1512504
1,43.2,0.0,00:00:11.3,00:05:08.6,1.62,00:00:00.0,0.00,39.5,3,5.9,0.0,---,---,---,---,---,---,---,---,---,---,52.2317456,0.1708971
1,73.6,0.0,00:00:18.6,00:02:46.7,3.00,00:00:00.0,0.00,7.5,4,30.4,0.0,---,---,---,---,---,---,---,---,---,---,52.2314757,0.1708281
1,82.5,0.0,00:00:20.1,00:01:53.4,4.41,00:00:00.0,0.00,42.0,5,8.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2313985,0.1707999
1,116.6,0.0,00:00:27.6,00:01:43.5,4.83,00:00:00.0,0.00,8.0,6,34.2,0.0,---,---,---,---,---,---,---,---,---,---,52.2310975,0.1707049
1,121.3,0.0,00:00:28.3,00:01:45.0,4.76,00:00:00.0,0.00,95.5,7,4.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2310567,0.1706837
1,123.6,0.0,00:00:28.9,00:01:43.7,4.82,00:00:00.0,0.00,80.5,8,2.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2310372,0.1706730
1,126.4,0.0,00:00:29.5,00:01:46.4,4.70,00:00:00.0,0.00,94.5,9,2.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2310128,0.1706633
1,130.5,0.0,00:00:30.5,00:01:46.8,4.68,00:00:00.0,0.00,64.5,10,4.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2309768,0.1706516
1,134.5,0.0,00:00:31.1,00:01:41.2,4.94,00:00:00.0,0.00,90.5,11,4.0,0.0,---,---,---,---,---,---,---,---,---,---,52.2309413,0.1706419
1,140.8,0.0,00:00:32.5,00:01:40.2,4.99,00:00:00.0,0.00,41.5,12,6.3,0.0,---,---,---,---,---,---,---,---,---,---,52.2308859,0.1706245
1,144.5,0.0,00:00:33.5,00:01:41.6,4.92,00:00:00.0,0.00,72.0,13,3.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2308525,0.1706157
1,147.3,0.0,00:00:33.9,00:01:42.2,4.89,00:00:00.0,0.00,90.5,14,2.8,0.0,---,---,---,---,---,---,---,---,---,---,52.2308282,0.1706061
